date,product_category,product_name,region,units_sold,revenue,cost,customer_rating,promotion,channel
2024-01-15,电子产品,智能手机A,华东,120,360000,240000,4.5,true,线上
2024-01-16,家居用品,智能台灯,华南,85,42500,25500,4.2,false,线下
2024-01-17,电子产品,无线耳机,华北,200,120000,72000,4.8,true,线上
2024-01-18,服装,运动T恤,华东,350,52500,31500,4.0,false,线下
2024-01-19,食品,有机坚果礼盒,华南,150,45000,27000,4.6,true,线上
2024-01-20,电子产品,平板电脑,华北,80,240000,160000,4.3,false,线上
2024-01-21,家居用品,空气净化器,华东,65,97500,58500,4.7,true,线上
2024-01-22,服装,休闲裤,华南,280,56000,33600,3.9,false,线下
2024-01-23,电子产品,智能手表,华北,150,180000,108000,4.4,true,线上
2024-01-24,食品,进口巧克力,华东,200,40000,24000,4.5,false,线上
2024-01-25,电子产品,蓝牙音箱,华南,180,54000,32400,4.1,true,线下
2024-01-26,家居用品,扫地机器人,华北,45,135000,81000,4.9,false,线上
2024-01-27,服装,羽绒服,华东,400,320000,192000,4.6,true,线下
2024-01-28,食品,健康燕麦,华南,250,37500,22500,4.2,false,线上
2024-01-29,电子产品,笔记本电脑,华北,60,360000,216000,4.7,true,线上
2024-01-30,家居用品,加湿器,华东,120,36000,21600,3.8,false,线下
2024-01-31,服装,连衣裙,华南,300,90000,54000,4.3,true,线上
2024-02-01,食品,即食燕窝,华北,80,64000,38400,4.8,false,线上
2024-02-02,电子产品,游戏手柄,华东,220,66000,39600,4.0,true,线下
2024-02-03,家居用品,电热水壶,华南,160,32000,19200,4.4,false,线上
2024-02-04,服装,运动鞋,华北,380,190000,114000,4.5,true,线上
2024-02-05,食品,有机茶叶,华东,180,54000,32400,4.6,false,线下
2024-02-06,电子产品,显示器,华南,90,135000,81000,4.2,true,线上
2024-02-07,家居用品,电压力锅,华北,110,55000,33000,4.1,false,线上
2024-02-08,服装,羊毛衫,华东,250,125000,75000,4.7,true,线下
2024-02-09,食品,进口红酒,华南,70,105000,63000,4.8,false,线上
2024-02-10,电子产品,键盘鼠标套装,华北,200,40000,24000,4.3,true,线上
2024-02-11,家居用品,四件套,华东,140,56000,33600,4.0,false,线下
2024-02-12,服装,牛仔裤,华南,320,64000,38400,4.4,true,线上
2024-02-13,食品,坚果大礼包,华北,200,60000,36000,4.5,false,线上
2024-02-14,电子产品,路由器,华东,180,54000,32400,4.1,true,线下
2024-02-15,家居用品,智能马桶盖,华南,30,45000,27000,4.9,false,线上
2024-02-16,服装,风衣,华北,220,154000,92400,4.6,true,线上
2024-02-17,食品,蜂蜜礼盒,华东,150,60000,36000,4.7,false,线下
2024-02-18,电子产品,移动电源,华南,300,45000,27000,4.2,true,线上
2024-02-19,家居用品,智能门锁,华北,50,100000,60000,4.8,false,线上
2024-02-20,服装,西装,华东,180,270000,162000,4.5,true,线下
2024-02-21,食品,燕窝礼盒,华南,60,96000,57600,4.9,false,线上
2024-02-22,电子产品,智能摄像头,华北,120,36000,21600,4.0,true,线上
2024-02-23,家居用品,破壁机,华东,90,36000,21600,4.3,false,线下
2024-02-24,服装,皮夹克,华南,150,120000,72000,4.7,true,线上
2024-02-25,食品,有机牛奶,华北,500,125000,75000,4.4,false,线上
2024-02-26,电子产品,VR眼镜,华东,40,80000,48000,4.6,true,线下
2024-02-27,家居用品,按摩椅,华南,20,120000,72000,4.9,false,线上
2024-02-28,服装,冲锋衣,华北,200,100000,60000,4.5,true,线上
2024-02-29,食品,高端咖啡豆,华东,100,50000,30000,4.8,false,线下
2024-03-01,电子产品,智能冰箱,华南,25,150000,90000,4.7,true,线上
2024-03-02,家居用品,投影仪,华北,55,82500,49500,4.3,false,线上
2024-03-03,服装,卫衣,华东,380,76000,45600,4.2,true,线下
2024-03-04,食品,进口饼干,华南,300,45000,27000,4.1,false,线上
2024-03-05,电子产品,无人机,华北,35,105000,63000,4.8,true,线上
2024-03-06,家居用品,除湿机,华东,80,32000,19200,4.4,false,线下
2024-03-07,服装,短裤,华南,420,42000,25200,4.0,true,线上
2024-03-08,食品,有机蔬菜,华北,400,120000,72000,4.5,false,线上
2024-03-09,电子产品,智能音箱,华东,200,60000,36000,4.6,true,线下
2024-03-10,家居用品,电热毯,华南,250,37500,22500,4.3,false,线上
2024-03-11,服装,衬衫,华北,450,90000,54000,4.4,true,线上
2024-03-12,食品,手工面包,华东,350,70000,42000,4.7,false,线下
2024-03-13,电子产品,运动相机,华南,85,68000,40800,4.8,true,线上
2024-03-14,家居用品,加湿器,华北,150,45000,27000,4.2,false,线上
2024-03-15,服装,针织衫,华东,300,75000,45000,4.5,true,线下
2024-03-16,食品,进口芝士,华南,120,72000,43200,4.9,false,线上
2024-03-17,电子产品,智能手环,华北,250,50000,30000,4.3,true,线上
2024-03-18,家居用品,电烤箱,华东,70,35000,21000,4.6,false,线下
2024-03-19,服装,半身裙,华南,220,66000,39600,4.1,true,线上
2024-03-20,食品,高端茶叶,华北,100,80000,48000,4.8,false,线上
2024-03-21,电子产品,智能音箱,华东,180,54000,32400,4.4,true,线下
2024-03-22,家居用品,空气净化器,华南,110,165000,99000,4.7,false,线上
2024-03-23,服装,外套,华北,280,168000,100800,4.5,true,线上
2024-03-24,食品,进口蜂蜜,华东,180,72000,43200,4.6,false,线下
2024-03-25,电子产品,智能门锁,华南,40,80000,48000,4.8,true,线上
2024-03-26,家居用品,咖啡机,华北,65,52000,31200,4.3,false,线上
2024-03-27,服装,长裤,华东,340,68000,40800,4.2,true,线下
2024-03-28,食品,有机果汁,华南,450,90000,54000,4.5,false,线上
2024-03-29,电子产品,平板电脑,华北,95,285000,171000,4.7,true,线上
2024-03-30,家居用品,电暖器,华东,200,60000,36000,4.4,false,线下
2024-03-31,服装,背心,华南,500,25000,15000,3.9,true,线上
2024-04-01,食品,进口果酱,华北,250,50000,30000,4.6,false,线上
2024-04-02,电子产品,无线充电器,华东,300,45000,27000,4.1,true,线下
2024-04-03,家居用品,加湿器,华南,180,54000,32400,4.5,false,线上
2024-04-04,服装,夹克,华北,260,104000,62400,4.8,true,线上
2024-04-05,食品,有机酸奶,华东,550,110000,66000,4.7,false,线下
2024-04-06,电子产品,智能手表,华南,160,192000,115200,4.4,true,线上
2024-04-07,家居用品,扫地机器人,华北,35,105000,63000,4.9,false,线上
2024-04-08,服装,风衣,华东,190,133000,79800,4.5,true,线下
2024-04-09,食品,进口巧克力,华南,220,44000,26400,4.6,false,线上
2024-04-10,电子产品,蓝牙耳机,华北,280,84000,50400,4.3,true,线上
2024-04-11,家居用品,智能台灯,华东,150,37500,22500,4.8,false,线下
2024-04-12,服装,休闲鞋,华南,400,80000,48000,4.2,true,线上
2024-04-13,食品,坚果礼盒,华北,180,54000,32400,4.5,false,线上
2024-04-14,电子产品,智能音箱,华东,210,63000,37800,4.7,true,线下
2024-04-15,家居用品,电压力锅,华南,100,50000,30000,4.4,false,线上
2024-04-16,服装,西装,华北,160,240000,144000,4.8,true,线上
2024-04-17,食品,有机蜂蜜,华东,200,80000,48000,4.6,false,线下
2024-04-18,电子产品,游戏手柄,华南,250,75000,45000,4.3,true,线上
2024-04-19,家居用品,智能门锁,华北,45,90000,54000,4.9,false,线上
2024-04-20,服装,毛衣,华东,280,84000,50400,4.5,true,线下
2024-04-21,食品,进口红酒,华南,90,135000,81000,4.7,false,线上
2024-04-22,电子产品,笔记本电脑,华北,75,450000,270000,4.8,true,线上
2024-04-23,家居用品,空气净化器,华东,55,82500,49500,4.4,false,线下
2024-04-24,服装,运动裤,华南,360,72000,43200,4.2,true,线上
2024-04-25,食品,有机坚果,华北,250,75000,45000,4.6,false,线上
2024-04-26,电子产品,智能手机B,华东,140,420000,252000,4.7,true,线下
2024-04-27,家居用品,加湿器,华南,200,60000,36000,4.5,false,线上
2024-04-28,服装,连衣裙,华北,320,96000,57600,4.8,true,线上
2024-04-29,食品,进口茶叶,华东,130,65000,39000,4.6,false,线下
2024-04-30,电子产品,智能手环,华南,220,44000,26400,4.3,true,线上
2024-05-01,家居用品,破壁机,华北,85,34000,20400,4.7,false,线上
2024-05-02,服装,皮夹克,华东,170,136000,81600,4.5,true,线下
2024-05-03,食品,有机果汁,华南,500,100000,60000,4.8,false,线上
2024-05-04,电子产品,VR眼镜,华北,50,100000,60000,4.6,true,线上
2024-05-05,家居用品,按摩椅,华东,25,150000,90000,4.9,false,线下
2024-05-06,服装,冲锋衣,华南,230,115000,69000,4.4,true,线上
2024-05-07,食品,进口饼干,华北,350,52500,31500,4.5,false,线上
2024-05-08,电子产品,智能摄像头,华东,140,42000,25200,4.7,true,线下
2024-05-09,家居用品,电热水壶,华南,190,38000,22800,4.3,false,线上
2024-05-10,服装,运动鞋,华北,420,210000,126000,4.8,true,线上
2024-05-11,食品,进口燕窝,华东,100,80000,48000,4.9,false,线下
2024-05-12,电子产品,显示器,华南,110,165000,99000,4.6,true,线上
2024-05-13,家居用品,智能马桶盖,华北,35,52500,31500,4.7,false,线上
2024-05-14,服装,羊毛衫,华东,310,155000,93000,4.5,true,线下
2024-05-15,食品,进口芝士,华南,140,84000,50400,4.8,false,线上
2024-05-16,电子产品,移动电源,华北,340,51000,30600,4.4,true,线上
2024-05-17,家居用品,加湿器,华东,250,75000,45000,4.7,false,线下
2024-05-18,服装,短裤,华南,480,48000,28800,4.2,true,线上
2024-05-19,食品,有机燕麦,华北,420,63000,37800,4.5,false,线上
2024-05-20,电子产品,无人机,华东,45,135000,81000,4.8,true,线下
2024-05-21,家居用品,投影仪,华南,70,105000,63000,4.6,false,线上
2024-05-22,服装,卫衣,华北,400,80000,48000,4.5,true,线上
2024-05-23,食品,进口面包,华东,300,45000,27000,4.7,false,线下
2024-05-24,电子产品,智能冰箱,华南,30,180000,108000,4.9,true,线上
2024-05-25,家居用品,除湿机,华北,100,40000,24000,4.4,false,线上
2024-05-26,服装,衬衫,华东,520,104000,62400,4.6,true,线下
2024-05-27,食品,有机蔬菜,华南,480,144000,86400,4.8,false,线上
2024-05-28,电子产品,运动相机,华北,100,80000,48000,4.5,true,线上
2024-05-29,家居用品,咖啡机,华东,80,64000,38400,4.7,false,线下
2024-05-30,服装,皮夹克,华南,180,144000,86400,4.8,true,线上
2024-05-31,食品,进口果酱,华北,300,60000,36000,4.6,false,线上
2024-06-01,电子产品,无线耳机,华东,250,150000,90000,4.7,true,线下
2024-06-02,家居用品,电热毯,华南,300,45000,27000,4.5,false,线上
2024-06-03,服装,针织衫,华北,380,95000,57000,4.8,true,线上
2024-06-04,食品,进口蜂蜜,华东,220,88000,52800,4.6,false,线下
2024-06-05,电子产品,智能手表,华南,180,216000,129600,4.9,true,线上
2024-06-06,家居用品,智能门锁,华北,60,120000,72000,4.7,false,线上
2024-06-07,服装,半身裙,华东,290,87000,52200,4.4,true,线下
2024-06-08,食品,有机牛奶,华南,600,150000,90000,4.8,false,线上
2024-06-09,电子产品,智能音箱,华北,230,69000,41400,4.5,true,线上
2024-06-10,家居用品,空气净化器,华东,130,195000,117000,4.7,false,线下
2024-06-11,服装,外套,华南,350,210000,126000,4.6,true,线上
2024-06-12,食品,高端茶叶,华北,120,96000,57600,4.9,false,线上
2024-06-13,电子产品,平板电脑,华东,110,330000,198000,4.8,true,线下
2024-06-14,家居用品,电烤箱,华南,95,47500,28500,4.5,false,线上
2024-06-15,服装,长裤,华北,420,84000,50400,4.7,true,线上
2024-06-16,食品,进口巧克力,华东,280,56000,33600,4.6,false,线下
2024-06-17,电子产品,蓝牙音箱,华南,210,63000,37800,4.8,true,线上
2024-06-18,家居用品,扫地机器人,华北,40,120000,72000,4.9,false,线上
2024-06-19,服装,背心,华东,580,29000,17400,4.3,true,线下
2024-06-20,食品,有机酸奶,华南,620,124000,74400,4.7,false,线上
2024-06-21,电子产品,VR眼镜,华北,60,120000,72000,4.8,true,线上
2024-06-22,家居用品,按摩椅,华东,30,180000,108000,4.9,false,线下
2024-06-23,服装,冲锋衣,华南,260,130000,78000,4.6,true,线上
2024-06-24,食品,进口红酒,华北,110,165000,99000,4.8,false,线上
2024-06-25,电子产品,游戏手柄,华东,280,84000,50400,4.5,true,线下
2024-06-26,家居用品,加湿器,华南,220,66000,39600,4.7,false,线上
2024-06-27,服装,夹克,华北,300,120000,72000,4.8,true,线上
2024-06-28,食品,有机坚果,华东,300,90000,54000,4.6,false,线下
2024-06-29,电子产品,智能手机C,华南,160,480000,288000,4.9,true,线上
2024-06-30,家居用品,智能台灯,华北,180,45000,27000,4.7,false,线上
